ID,Name,Category,Alignment,Lat,Lon,Lore
1,Ankou,Anthromorphic,Neutral,48.2,-2.93,The personification of death who collects souls.
2,Apsat,Anthromorphic,Benevolent,42.31,43.4,God of birds and fish; protects hunters.
3,Banshee,Anthromorphic,Neutral,53.35,-6.26,Spirit whose wailing foretells a death.
4,Barbegazi,Anthromorphic,Benevolent,45.92,6.87,Mountain men with giant snowshoe feet.
5,Barstukas,Anthromorphic,Benevolent,55.17,23.89,Tiny earth men living under elder trees.
6,Basajaun,Anthromorphic,Benevolent,43.01,-1.12,Lord of the Forest; taught humans agriculture.
7,Bean-nighe,Anthromorphic,Neutral,56.49,-4.2,Washer at the ford who cleans bloodied shrouds.
8,Bwbach,Anthromorphic,Ambivalent,52.13,-3.78,Helpful brownie who hates dissent.
9,Clurichaun,Anthromorphic,Ambivalent,52.34,-8.68,Drunken cousin of the leprechaun.
10,Domovoy,Anthromorphic,Benevolent,50.45,30.52,Protective Slavic household spirit.
11,Duergar,Anthromorphic,Malicious,55.28,-1.94,Malicious dark-dwelling dwarves.
12,Dwarf,Anthromorphic,Ambivalent,51.8,10.5,Subterranean master smiths.
13,Gnome,Anthromorphic,Neutral,53.06,-4.07,Earth-dwellers guarding treasure.
14,Haltija,Anthromorphic,Benevolent,69.3,21.26,Guardian spirit of people or homes.
15,Kallikantzaros,Anthromorphic,Malicious,40.08,22.36,Chaos-causing Christmas goblins.
16,Kikimora,Anthromorphic,Ambivalent,60.5,31.5,Helpful or chaotic female house spirit.
17,Korrigans,Anthromorphic,Ambivalent,48.1,-3,Fae dancing in stone circles.
18,Leprechaun,Anthromorphic,Ambivalent,54.04,-6.18,Solitary cobbler guarding gold.
19,Leshy,Anthromorphic,Ambivalent,52.73,23.86,Forest guardian of variable size.
20,Lutin,Anthromorphic,Ambivalent,48.01,-2.28,Prankish French spirit.
21,Aitvaras,Zoomorphic,Ambivalent,55.35,26,Rooster or fireball house spirit.
22,Afanc,Zoomorphic,Malicious,52.89,-3.61,Lake beast causing floods.
23,Black Shuck,Zoomorphic,Malicious,52.45,1.46,Spectral dog; omen of death.
24,Càssait-Bheinn,Zoomorphic,Neutral,56.8,-5,Giant elusive mountain bird.
25,Cirein-cròin,Zoomorphic,Malicious,57.9,-6.3,Whale-eating sea serpent.
26,Fenrir,Zoomorphic,Malicious,61.63,8.31,Wolf destined to kill Odin.
27,Iku-Turso,Zoomorphic,Malicious,59.9,25.5,terrifying sea monster.
28,Kraken,Zoomorphic,Neutral,64,5,Colossal ship-sinking beast.
29,Lavellan,Zoomorphic,Malicious,57.5,-3.5,Poisonous rat-like creature.
